param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
37,distance,2,0.7637499999999999,161
89,distance,2,0.7637499999999999,161
50,distance,2,0.7637499999999999,161
102,distance,1,0.7625000000000001,179
103,distance,1,0.7625000000000001,179
122,distance,1,0.7625000000000001,179
97,distance,2,0.7625,182
52,uniform,2,0.7625,182
67,distance,1,0.7625,182
75,distance,2,0.7625,182
112,distance,1,0.7625,182
65,distance,1,0.7625,182
64,distance,2,0.7625,182
111,distance,1,0.7625,182
53,uniform,2,0.7625,182
63,distance,2,0.7625,182
109,distance,1,0.7625,182
98,distance,2,0.7625,182
106,distance,1,0.7625,182
55,distance,1,0.7625,182
7,uniform,1,0.7625,182
100,distance,1,0.7625,182
60,uniform,2,0.7625,182
7,distance,1,0.7625,182
64,uniform,2,0.7625,182
96,distance,2,0.7625,182
86,distance,2,0.7625,182
95,distance,2,0.7625,182
83,distance,1,0.7625,182
15,distance,1,0.7625,182
83,distance,2,0.7625,182
44,distance,2,0.7625,182
22,distance,2,0.7625,182
89,distance,1,0.7625,182
88,distance,1,0.7625,182
85,distance,1,0.7625,182
87,distance,2,0.7625,182
84,distance,2,0.7625,182
38,distance,2,0.7625,182
47,distance,1,0.7625,182
92,distance,2,0.7625,182
18,uniform,2,0.7625,182
94,distance,2,0.7625,182
91,distance,2,0.7625,182
49,distance,2,0.7625,182
34,distance,2,0.7612500000000001,221
86,distance,1,0.7612500000000001,221
6,uniform,2,0.7612500000000001,221
62,uniform,1,0.7612500000000001,221
30,uniform,2,0.7612500000000001,221
34,distance,1,0.7612500000000001,221
110,distance,1,0.7612500000000001,221
63,uniform,2,0.7612500000000001,221
79,distance,1,0.7612500000000001,221
108,distance,1,0.7612500000000001,221
7,distance,2,0.7612500000000001,221
53,distance,2,0.7612500000000001,221
13,distance,1,0.7612500000000001,221
91,distance,1,0.7612500000000001,221
59,uniform,1,0.76125,235
115,distance,1,0.76125,235
73,distance,2,0.76125,235
113,distance,1,0.76125,235
66,uniform,1,0.76125,235
36,distance,1,0.76125,235
65,uniform,1,0.76125,235
117,distance,1,0.76125,235
118,distance,1,0.76125,235
107,distance,1,0.76125,235
99,distance,2,0.76125,235
116,distance,1,0.76125,235
28,distance,2,0.76125,235
105,distance,1,0.76125,235
82,distance,1,0.76125,235
27,distance,2,0.76125,235
71,distance,2,0.76125,235
27,uniform,2,0.76125,235
80,uniform,2,0.7612499999999999,253
43,distance,1,0.7612499999999999,253
87,distance,1,0.7612499999999999,253
54,distance,1,0.7612499999999999,253
81,uniform,2,0.7612499999999999,253
50,distance,1,0.7612499999999999,253
21,uniform,2,0.7612499999999999,253
85,distance,2,0.7612499999999999,253
56,distance,1,0.7612499999999999,253
50,uniform,2,0.7612499999999999,253
81,distance,2,0.7612499999999999,253
73,uniform,2,0.76,264
123,distance,1,0.76,264
120,distance,1,0.76,264
119,distance,1,0.76,264
91,uniform,2,0.76,264
114,distance,1,0.76,264
81,distance,1,0.76,264
76,distance,2,0.76,264
100,distance,2,0.76,264
77,distance,2,0.76,264
101,distance,2,0.76,264
105,distance,2,0.76,264
80,distance,1,0.76,264
82,distance,2,0.76,264
103,distance,2,0.76,264
74,distance,2,0.76,264
78,distance,2,0.76,264
121,distance,1,0.76,264
32,distance,1,0.76,264
58,uniform,1,0.76,264
46,distance,1,0.76,264
44,distance,1,0.76,264
32,distance,2,0.76,264
6,distance,2,0.76,264
61,uniform,2,0.76,264
41,distance,2,0.76,264
63,uniform,1,0.76,264
18,distance,2,0.76,264
19,distance,2,0.76,264
65,uniform,2,0.76,264
49,distance,1,0.76,264
65,distance,2,0.76,264
66,uniform,2,0.76,264
40,distance,2,0.76,264
67,uniform,1,0.76,264
37,distance,1,0.76,264
39,distance,2,0.76,264
68,uniform,1,0.76,264
69,uniform,1,0.76,264
30,distance,1,0.76,264
68,uniform,2,0.7587500000000001,304
89,uniform,1,0.7587500000000001,304
31,distance,2,0.75875,306
88,distance,2,0.75875,306
79,uniform,2,0.75875,306
72,uniform,2,0.75875,306
61,uniform,1,0.75875,306
48,distance,1,0.75875,306
77,uniform,2,0.75875,306
64,uniform,1,0.75875,306
67,uniform,2,0.75875,306
29,distance,2,0.75875,306
5,distance,1,0.75875,306
78,uniform,2,0.75875,306
85,uniform,2,0.7587499999999999,318
20,uniform,2,0.7587499999999999,318
71,uniform,1,0.7587499999999999,318
124,distance,1,0.7587499999999999,318
69,uniform,2,0.7587499999999999,318
76,uniform,2,0.7587499999999999,318
76,uniform,1,0.7587499999999999,318
72,distance,2,0.7587499999999998,325
102,distance,2,0.7575000000000001,326
88,uniform,1,0.7575000000000001,326
124,distance,2,0.7575000000000001,326
125,distance,1,0.7575000000000001,326
128,distance,1,0.7575000000000001,326
129,distance,1,0.7575000000000001,326
115,distance,2,0.7575000000000001,326
133,distance,1,0.7575000000000001,326
20,distance,2,0.7575000000000001,326
109,distance,2,0.7575000000000001,326
83,uniform,2,0.7575000000000001,326
123,distance,2,0.7575000000000001,326
93,uniform,1,0.7575000000000001,326
17,distance,2,0.7575000000000001,326
14,uniform,2,0.7575000000000001,326
107,distance,2,0.7575000000000001,326
104,distance,2,0.7575000000000001,326
5,uniform,2,0.7575,343
89,uniform,2,0.7575,343
88,uniform,2,0.7575,343
14,distance,1,0.7575,343
7,uniform,2,0.7575,343
97,uniform,2,0.7575,343
74,uniform,2,0.7575,343
36,distance,2,0.7575,343
70,uniform,1,0.7575,343
79,distance,2,0.7575,343
77,uniform,1,0.7575,343
42,distance,2,0.7562500000000001,354
134,distance,1,0.7562500000000001,354
95,uniform,1,0.7562500000000001,354
116,distance,2,0.7562500000000001,354
87,uniform,1,0.7562500000000001,354
121,distance,2,0.7562500000000001,354
122,distance,2,0.7562500000000001,354
86,uniform,1,0.7562500000000001,354
127,distance,1,0.7562500000000001,354
120,distance,2,0.7562500000000001,354
16,uniform,2,0.7562500000000001,354
126,distance,1,0.7562500000000001,354
118,distance,2,0.7562500000000001,354
109,uniform,1,0.75625,367
107,uniform,2,0.75625,367
110,uniform,2,0.75625,367
74,uniform,1,0.75625,367
80,uniform,1,0.75625,367
10,uniform,2,0.75625,367
13,uniform,1,0.75625,367
98,uniform,1,0.75625,367
81,uniform,1,0.75625,367
96,uniform,2,0.75625,367
75,uniform,1,0.75625,367
72,uniform,1,0.75625,367
70,uniform,2,0.75625,367
41,distance,1,0.75625,367
30,distance,2,0.75625,367
90,uniform,2,0.75625,367
28,uniform,2,0.75625,367
91,uniform,1,0.75625,367
95,uniform,2,0.75625,367
94,uniform,2,0.75625,367
82,uniform,2,0.75625,367
42,distance,1,0.75625,367
131,distance,1,0.7562499999999999,389
137,distance,1,0.7562499999999999,389
106,uniform,1,0.7562499999999999,389
143,distance,1,0.7562499999999999,389
18,uniform,1,0.7550000000000001,393
87,uniform,2,0.7550000000000001,393
19,uniform,2,0.7550000000000001,393
108,uniform,2,0.7550000000000001,393
92,uniform,1,0.7550000000000001,393
83,uniform,1,0.7550000000000001,393
94,uniform,1,0.7550000000000001,393
8,distance,2,0.7550000000000001,393
82,uniform,1,0.7550000000000001,393
112,uniform,2,0.7550000000000001,393
103,uniform,1,0.7550000000000001,393
106,uniform,2,0.7550000000000001,393
17,uniform,2,0.7550000000000001,393
96,uniform,1,0.7550000000000001,393
85,uniform,1,0.7550000000000001,393
90,uniform,1,0.7550000000000001,393
73,uniform,1,0.7550000000000001,393
97,uniform,1,0.755,410
141,distance,1,0.755,410
71,uniform,2,0.755,410
86,uniform,2,0.755,410
108,distance,2,0.755,410
138,distance,1,0.755,410
117,uniform,1,0.755,410
139,distance,1,0.755,410
132,distance,1,0.755,410
142,distance,1,0.755,410
130,distance,1,0.755,410
130,distance,2,0.755,410
131,distance,2,0.755,410
114,distance,2,0.755,410
144,distance,2,0.755,410
142,distance,2,0.755,410
136,distance,1,0.755,410
106,distance,2,0.755,410
107,uniform,1,0.755,410
144,distance,1,0.755,410
140,distance,1,0.755,410
101,uniform,1,0.755,410
60,uniform,1,0.755,410
102,uniform,1,0.755,410
100,uniform,1,0.755,410
135,distance,1,0.755,410
111,uniform,2,0.7549999999999999,436
98,uniform,2,0.7549999999999999,436
40,distance,1,0.7549999999999999,436
125,distance,2,0.7549999999999999,436
38,distance,1,0.7549999999999999,436
126,distance,2,0.7549999999999999,436
145,distance,1,0.7549999999999999,436
147,distance,1,0.7549999999999999,436
75,uniform,2,0.7537500000000001,444
143,distance,2,0.75375,445
146,distance,2,0.75375,445
152,distance,2,0.75375,445
145,distance,2,0.75375,445
153,distance,2,0.75375,445
127,uniform,1,0.75375,445
154,distance,2,0.75375,445
119,uniform,2,0.75375,445
155,distance,2,0.75375,445
120,uniform,2,0.75375,445
141,distance,2,0.75375,445
129,uniform,1,0.75375,445
156,distance,2,0.75375,445
115,uniform,2,0.75375,445
